Seg,Point,ID,Tag No.,Type,Combination,Nominal,GlobalFX,GlobalFY,GlobalFZ,GlobalFR,GlobalDX,GlobalDY,GlobalDZ,GlobalDR,LocalDir1,Force1,Disp1,Gap1,LocalDir2,Force2,Disp2,Gap2,LocalDir3,Force3,Disp3,Gap3,Stiffness,Friction,ColdLoad,CoordX,CoordY,CoordZ
A,A01,A01  1,,Shoe,COLD,24,0,-5349,0,5349,0,0,0,0,down,5349,0,0,#NAME?,0,0,0,#NAME?,0,0,0,10000000000,0.15,0,0,33.83,-19.98
A,A01,A01  1,,Shoe,OPERATING,24,0,-5376,806,5436,0,0,0.029,0.029,down,5376,0,0,#NAME?,806,0.029,0,#NAME?,0,0,0,10000000000,0.15,0,0,33.83,-19.98
A,A02,A02  1,,Guide,COLD,24,0,-4620,0,4620,0,0,0,0,down,4620,0,0,rght,0,0,0.13,forw,0,0,0,10000000000,0.15,0,0,33.83,-40.02
A,A02,A02  1,,Guide,OPERATING,24,0,-4627,694,4679,0,0,0.059,0.059,down,4627,0,0,left,0,0,0.13,back,694,0.059,0,10000000000,0.15,0,0,33.83,-40.02
A,A05,A05  1,,Shoe,COLD,18,0,-2835,0,2835,0,0,0,0,down,2835,0,0,#NAME?,0,0,0,#NAME?,0,0,0,10000000000,0.15,0,0,33.58,-60.08
A,A05,A05  1,,Shoe,OPERATING,18,0,-2800,420,2831,0,0,0.089,0.089,down,2800,0,0,#NAME?,420,0.089,0,#NAME?,0,0,0,10000000000,0.15,0,0,33.58,-60.08
A,A06,A06  1,,Guide,COLD,18,0,-3061,0,3061,0,0,-0.001,0.001,down,3061,0,0,rght,0,0,0.13,forw,0,0.001,0,10000000000,0.15,0,0,33.58,-79.98
A,A06,A06  1,,Guide,OPERATING,18,0,-3068,460,3102,0,0,0.118,0.118,down,3068,0,0,left,0,0,0.13,back,460,0.118,0,10000000000,0.15,0,0,33.58,-79.98
A,A07,A07  1,,Shoe,COLD,18,0,-2923,0,2923,0,0,-0.001,0.001,down,2923,0,0,#NAME?,0,0.001,0,#NAME?,0,0,0,10000000000,0.15,0,0,33.58,-100.08
A,A07,A07  1,,Shoe,OPERATING,18,0,-2930,440,2963,0,0,0.148,0.148,down,2930,0,0,#NAME?,440,0.148,0,#NAME?,0,0,0,10000000000,0.15,0,0,33.58,-100.08
A,A08,A08  1,,Guide,COLD,18,0,-3276,0,3276,0,0,-0.001,0.001,down,3276,0,0,rght,0,0,0.13,forw,0,0.001,0,10000000000,0.15,0,0,33.58,-119.98
A,A08,A08  1,,Guide,OPERATING,18,0,-3240,486,3277,0,0,0.178,0.178,down,3240,0,0,left,0,0,0.13,back,486,0.178,0,10000000000,0.15,0,0,33.58,-119.98
A,A09,A09  1,,Shoe,COLD,18,0,-770,0,770,0,0,-0.002,0.002,down,770,0,0,#NAME?,0,0.002,0,#NAME?,0,0,0,10000000000,0.15,0,0,33.58,-140.08
A,A09,A09  1,,Shoe,OPERATING,18,0,-1130,170,1143,0,0,0.208,0.208,down,1130,0,0,#NAME?,170,0.208,0,#NAME?,0,0,0,10000000000,0.15,0,0,33.58,-140.08
A,A10,A10  1,,Guide,COLD,18,0,-5744,0,5744,0,0,-0.002,0.002,down,5744,0,0,rght,0,0,0.13,forw,0,0.002,0,10000000000,0.15,0,0,33.58,-149.98
A,A10,A10  1,,Guide,OPERATING,18,2,-5416,812,5476,0.001,0,0.223,0.223,down,5416,0,0,rght,2,0.001,0.13,back,812,0.223,0,10000000000,0.15,0,0,33.58,-149.98
A,A17,A17  1,,Guide,COLD,18,0,-5585,0,5585,0,0,0.002,0.002,down,5585,0,0,left,0,0,0.13,back,0,0.002,0,10000000000,0.15,0,0,33.58,-169.97
A,A17,A17  1,,Guide,OPERATING,18,-2,-5250,-787,5308,-0.001,0,-0.225,0.225,down,5250,0,0,left,2,0.001,0.13,forw,787,0.225,0,10000000000,0.15,0,0,33.58,-169.97
A,A18,A18  1,,Shoe,COLD,18,0,-921,0,921,0,0,0.002,0.002,down,921,0,0,#NAME?,0,0.002,0,#NAME?,0,0,0,10000000000,0.15,0,0,33.58,-180.07
A,A18,A18  1,,Shoe,OPERATING,18,0,-1284,-193,1298,0,0,-0.209,0.209,down,1284,0,0,#NAME?,193,0.209,0,#NAME?,0,0,0,10000000000,0.15,0,0,33.58,-180.07
A,A19,A19  1,,Guide,COLD,18,0,-3290,0,3290,0,0,0.002,0.002,down,3290,0,0,left,0,0,0.13,back,0,0.002,0,10000000000,0.15,0,0,33.58,-199.97
A,A19,A19  1,,Guide,OPERATING,18,0,-3252,-488,3289,0,0,-0.179,0.179,down,3252,0,0,rght,0,0,0.13,forw,488,0.179,0,10000000000,0.15,0,0,33.58,-199.97
A,A20,A20  1,,Shoe,COLD,18,0,-2857,0,2857,0,0,0.001,0.001,down,2857,0,0,#NAME?,0,0.001,0,#NAME?,0,0,0,10000000000,0.15,0,0,33.58,-220.07
A,A20,A20  1,,Shoe,OPERATING,18,0,-2867,-430,2899,0,0,-0.149,0.149,down,2867,0,0,#NAME?,430,0.149,0,#NAME?,0,0,0,10000000000,0.15,0,0,33.58,-220.07
A,A21,A21  1,,Shoe,COLD,18,0,-3307,0,3307,0,0,0.001,0.001,down,3307,0,0,#NAME?,0,0.001,0,#NAME?,0,0,0,10000000000,0.15,0,0,33.58,-240.01
A,A21,A21  1,,Shoe,OPERATING,18,0,-3305,-496,3342,0,0,-0.119,0.119,down,3305,0,0,#NAME?,496,0.119,0,#NAME?,0,0,0,10000000000,0.15,0,0,33.58,-240.01
A,A22,A22  1,,Shoe,COLD,18,0,-3291,0,3291,0,0,0.001,0.001,down,3291,0,0,#NAME?,0,0.001,0,#NAME?,0,0,0,10000000000,0.15,0,0,33.58,-263.03
A,A22,A22  1,,Shoe,OPERATING,18,-1,-3292,-494,3329,0,0,-0.086,0.086,down,3292,0,0,#NAME?,494,0.086,0,#NAME?,1,0,0,10000000000,0.15,0,0,33.58,-263.03
A,A23,A23  1,,Guide,COLD,18,0,-2913,0,2913,0,0,0.001,0.001,down,2913,0,0,rght,0,0,0.13,back,0,0.001,0,10000000000,0.15,0,0,33.58,-282.97
A,A23,A23  1,,Guide,OPERATING,18,2,-2907,-436,2940,0,0,-0.057,0.057,down,2907,0,0,rght,2,0,0.13,forw,436,0.057,0,10000000000,0.15,0,0,33.58,-282.97
A,A24,A24  1,,Shoe,COLD,18,0,-3056,0,3056,0,0,0,0,down,3056,0,0,#NAME?,0,0,0,#NAME?,0,0,0,10000000000,0.15,0,0,33.58,-303.03
A,A24,A24  1,,Shoe,OPERATING,18,49,-3080,-459,3114,0.003,0,-0.028,0.028,down,3080,0,0,#NAME?,459,0.028,0,#NAME?,49,0.003,0,10000000000,0.15,0,0,33.58,-303.03
B,B04,B04  1,,Shoe,COLD,6,0,-343,0,343,0.002,0,-0.008,0.008,down,343,0,0,#NAME?,0,0.008,0,#NAME?,0,0.002,0,10000000000,0.3,0,5.43,27.87,-317.56
B,B04,B04  1,,Shoe,OPERATING,6,52,-170,-3,178,0.077,0,-0.013,0.078,down,170,0,0,#NAME?,3,0.013,0,#NAME?,52,0.077,0,10000000000,0.3,0,5.43,27.87,-317.56
B,B07,B07  1,,Guide,COLD,6,0,-340,0,340,0.002,0,-0.008,0.008,down,340,0,0,left,0,0.008,0.06,forw,0,0.002,0,10000000000,0.3,0,15.43,27.87,-317.56
B,B07,B07  1,,Guide,OPERATING,6,115,-379,-1,396,0.06,0,-0.009,0.06,down,379,0,0,left,1,0.009,0.06,forw,115,0.06,0,10000000000,0.3,0,15.43,27.87,-317.56
B,B08,B08  1,,Shoe,COLD,6,0,-241,0,241,0.002,0,-0.008,0.008,down,241,0,0,#NAME?,0,0.008,0,#NAME?,0,0.002,0,10000000000,0.3,0,25.43,27.87,-317.56
B,B08,B08  1,,Shoe,OPERATING,6,70,-231,1,241,0.042,0,-0.008,0.043,down,231,0,0,#NAME?,1,-0.008,0,#NAME?,70,0.042,0,10000000000,0.3,0,25.43,27.87,-317.56
B,B09,B09  1,,Guide,COLD,6,0,-261,0,261,0.002,0,-0.008,0.009,down,261,0,0,left,0,0.008,0.06,forw,0,0.002,0,10000000000,0.3,0,35.43,27.87,-317.56
B,B09,B09  1,,Guide,OPERATING,6,81,-263,0,276,0.025,0,-0.008,0.026,down,263,0,0,rght,0,-0.008,0.06,forw,81,0.025,0,10000000000,0.3,0,35.43,27.87,-317.56
B,B10,B10  1,,Shoe,COLD,6,0,-256,0,256,0.002,0,-0.009,0.009,down,256,0,0,#NAME?,0,0.009,0,#NAME?,0,0.002,0,10000000000,0.3,0,45.43,27.87,-317.56
B,B10,B10  1,,Shoe,OPERATING,6,86,-255,0,269,0.008,0,-0.009,0.012,down,255,0,0,#NAME?,0,0.009,0,#NAME?,86,0.008,0,10000000000,0.3,0,45.43,27.87,-317.56
B,B11,B11  1,,Guide,COLD,6,0,-257,0,257,0.002,0,-0.009,0.009,down,257,0,0,left,0,0.009,0.06,forw,0,0.002,0,10000000000,0.3,0,55.44,27.87,-317.56
B,B11,B11  1,,Guide,OPERATING,6,-73,-257,0,267,-0.009,0,-0.009,0.013,down,257,0,0,left,0,0.009,0.06,back,73,0.009,0,10000000000,0.3,0,55.44,27.87,-317.56
