CombinationOrder,Seg,Point,ID,Tag No.,Type,Combination,Nominal,GlobalFX,GlobalFY,GlobalFZ,GlobalFR,GlobalDX,GlobalDY,GlobalDZ,GlobalDR,LocalDir1,Force1,Disp1,Gap1,LocalDir2,Force2,Disp2,Gap2,LocalDir3,Force3,Disp3,Gap3,Stiffness,Friction,ColdLoad,CoordX,CoordY,CoordZ
15,A,A06,A06  1,,Rod Hgr,COLD,12,0,-2028,0,2028,0.007,0,-0.003,0.008,down,2028,0,0,#NAME?,0,0.003,0,#NAME?,0,0.007,0,10000000000,0,0,-3.19,15.27,10.92
16,A,A06,A06  1,,Rod Hgr,OPERATING,12,0,-1996,0,1996,-0.031,0,-0.03,0.043,down,1996,0,0,#NAME?,0,0.03,0,#NAME?,0,0.031,0,10000000000,0,0,-3.19,15.27,10.92
17,A,A06,A06  1,,Rod Hgr,OPERATING + E/W SEISMIC,12,0,2108,0,2108,0.052,0,0.069,0.086,down,2108,0,0,#NAME?,0,0.069,0,#NAME?,0,0.052,0,10000000000,0,0,-3.19,15.27,10.92
18,A,A06,A06  1,,Rod Hgr,OPERATING + N/S SEISMIC,12,0,2184,0,2184,0.069,0,0.076,0.102,down,2184,0,0,#NAME?,0,0.076,0,#NAME?,0,0.069,0,10000000000,0,0,-3.19,15.27,10.92
19,A,A06,A06  1,,Rod Hgr,OPERATING + ALL SEISMIC,12,0,2220,0,2220,0.09,0,0.114,0.145,down,2220,0,0,#NAME?,0,0.114,0,#NAME?,0,0.09,0,10000000000,0,0,-3.19,15.27,10.92
15,A,A07,A07  1,,Rod Hgr,COLD,12,0,0,0,0,0.007,0.003,-0.001,0.008,up,0,0.003,100,#NAME?,0,0.001,0,#NAME?,0,0.007,0,10000000000,0,0,-8.31,15.27,10.92
16,A,A07,A07  1,,Rod Hgr,OPERATING,12,0,0,0,0,-0.023,0.003,-0.046,0.051,up,0,0.003,100,#NAME?,0,0.046,0,#NAME?,0,0.023,0,10000000000,0,0,-8.31,15.27,10.92
17,A,A07,A07  1,,Rod Hgr,OPERATING + E/W SEISMIC,12,0,0,0,0,0.043,0.003,0.105,0.114,down,0,0.003,0,#NAME?,0,0.105,0,#NAME?,0,0.043,0,10000000000,0,0,-8.31,15.27,10.92
18,A,A07,A07  1,,Rod Hgr,OPERATING + N/S SEISMIC,12,0,0,0,0,0.061,0.004,0.127,0.14,down,0,0.004,0,#NAME?,0,0.127,0,#NAME?,0,0.061,0,10000000000,0,0,-8.31,15.27,10.92
19,A,A07,A07  1,,Rod Hgr,OPERATING + ALL SEISMIC,12,0,0,0,0,0.081,0.004,0.186,0.203,down,0,0.004,0,#NAME?,0,0.186,0,#NAME?,0,0.081,0,10000000000,0,0,-8.31,15.27,10.92
