Seg,Point,ID,Tag No.,Type,Combination,Nominal,GlobalFX,GlobalFY,GlobalFZ,GlobalFR,GlobalDX,GlobalDY,GlobalDZ,GlobalDR,LocalDir1,Force1,Disp1,Gap1,LocalDir2,Force2,Disp2,Gap2,LocalDir3,Force3,Disp3,Gap3,Stiffness,Friction,ColdLoad,CoordX,CoordY,CoordZ
A,A00,A00  1,LOOSE FIT U-BOLT,Guide,COLD,3,0,-95,11,95,-0.161,0,0.06,0.172,down,95,0,0,left,11,0.06,0.06,forw,0,0.161,0,10000000000,0.3,0,-302.71,29.44,7.2
A,A00,A00  1,LOOSE FIT U-BOLT,Guide,OPERATING,3,-1,-97,10,98,-0.161,0,0.06,0.172,down,97,0,0,left,10,0.06,0.06,forw,1,0.161,0,10000000000,0.3,0,-302.71,29.44,7.2
A,A00,A00  1,LOOSE FIT U-BOLT,Guide,OPERATING + E/W SEISMIC,3,1,102,20,104,0.171,0,0.06,0.181,down,102,0,0,left,20,0.06,0.06,back,1,0.171,0,10000000000,0.3,0,-302.71,29.44,7.2
A,A00,A00  1,LOOSE FIT U-BOLT,Guide,OPERATING + N/S SEISMIC,3,1,112,15,113,0.322,0,0.06,0.327,down,112,0,0,left,15,0.06,0.06,back,1,0.322,0,10000000000,0.3,0,-302.71,29.44,7.2
A,A00,A00  1,LOOSE FIT U-BOLT,Guide,OPERATING + ALL SEISMIC,3,1,113,24,116,0.326,0,0.06,0.331,down,113,0,0,left,24,0.06,0.06,back,1,0.326,0,10000000000,0.3,0,-302.71,29.44,7.2
B,B00,B00  1,LOOSE FIT U-BOLT,Guide,COLD,3,0,-95,12,96,0.152,0,0.06,0.164,down,95,0,0,rght,12,0.06,0.06,forw,0,0.152,0,10000000000,0.3,0,-236.55,29.3,7.2
B,B00,B00  1,LOOSE FIT U-BOLT,Guide,OPERATING,3,2,-98,11,99,0.152,0,0.06,0.164,down,98,0,0,rght,11,0.06,0.06,forw,2,0.152,0,10000000000,0.3,0,-236.55,29.3,7.2
B,B00,B00  1,LOOSE FIT U-BOLT,Guide,OPERATING + E/W SEISMIC,3,2,102,20,104,0.161,0,0.06,0.172,down,102,0,0,left,20,0.06,0.06,back,2,0.161,0,10000000000,0.3,0,-236.55,29.3,7.2
B,B00,B00  1,LOOSE FIT U-BOLT,Guide,OPERATING + N/S SEISMIC,3,2,113,16,114,0.324,0,0.06,0.329,down,113,0,0,left,16,0.06,0.06,back,2,0.324,0,10000000000,0.3,0,-236.55,29.3,7.2
B,B00,B00  1,LOOSE FIT U-BOLT,Guide,OPERATING + ALL SEISMIC,3,2,114,25,117,0.328,0,0.06,0.333,down,114,0,0,left,25,0.06,0.06,back,2,0.328,0,10000000000,0.3,0,-236.55,29.3,7.2
C,C00,C00  1,LOOSE FIT U-BOLT,Guide,COLD,3,0,-95,11,95,0.159,0,0.06,0.17,down,95,0,0,rght,11,0.06,0.06,forw,0,0.159,0,10000000000,0.3,0,-181.34,29.3,7.2
C,C00,C00  1,LOOSE FIT U-BOLT,Guide,OPERATING,3,1,-97,10,98,0.159,0,0.06,0.17,down,97,0,0,rght,10,0.06,0.06,forw,1,0.159,0,10000000000,0.3,0,-181.34,29.3,7.2
C,C00,C00  1,LOOSE FIT U-BOLT,Guide,OPERATING + E/W SEISMIC,3,1,102,20,104,0.169,0,0.06,0.179,down,102,0,0,left,20,0.06,0.06,back,1,0.169,0,10000000000,0.3,0,-181.34,29.3,7.2
C,C00,C00  1,LOOSE FIT U-BOLT,Guide,OPERATING + N/S SEISMIC,3,1,112,15,113,0.317,0,0.06,0.323,down,112,0,0,left,15,0.06,0.06,back,1,0.317,0,10000000000,0.3,0,-181.34,29.3,7.2
C,C00,C00  1,LOOSE FIT U-BOLT,Guide,OPERATING + ALL SEISMIC,3,1,113,24,115,0.321,0,0.06,0.327,down,113,0,0,left,24,0.06,0.06,back,1,0.321,0,10000000000,0.3,0,-181.34,29.3,7.2
D,D00,D00  1,LOOSE FIT U-BOLT,Guide,COLD,3,0,-93,13,93,0.293,0,0.06,0.299,down,93,0,0,rght,13,0.06,0.06,forw,0,0.293,0,10000000000,0.3,0,-132.18,29.3,7.2
D,D00,D00  1,LOOSE FIT U-BOLT,Guide,OPERATING,3,1,-95,12,96,0.293,0,0.06,0.299,down,95,0,0,rght,12,0.06,0.06,forw,1,0.293,0,10000000000,0.3,0,-132.18,29.3,7.2
D,D00,D00  1,LOOSE FIT U-BOLT,Guide,OPERATING + E/W SEISMIC,3,1,100,22,102,0.308,0,0.06,0.313,down,100,0,0,left,22,0.06,0.06,back,1,0.308,0,10000000000,0.3,0,-132.18,29.3,7.2
D,D00,D00  1,LOOSE FIT U-BOLT,Guide,OPERATING + N/S SEISMIC,3,1,111,17,112,0.515,0,0.06,0.518,down,111,0,0,left,17,0.06,0.06,back,1,0.515,0,10000000000,0.3,0,-132.18,29.3,7.2
D,D00,D00  1,LOOSE FIT U-BOLT,Guide,OPERATING + ALL SEISMIC,3,1,112,26,115,0.519,0,0.06,0.522,down,112,0,0,left,26,0.06,0.06,back,1,0.519,0,10000000000,0.3,0,-132.18,29.3,7.2
E,E00,E00  1,LOOSE FIT U-BOLT,Guide,COLD,3,0,-95,11,95,-0.161,0,0.06,0.171,down,95,0,0,left,11,0.06,0.06,forw,0,0.161,0,10000000000,0.3,0,-101.23,29.3,7.2
E,E00,E00  1,LOOSE FIT U-BOLT,Guide,OPERATING,3,-1,-97,10,98,-0.161,0,0.06,0.171,down,97,0,0,left,10,0.06,0.06,forw,1,0.161,0,10000000000,0.3,0,-101.23,29.3,7.2
E,E00,E00  1,LOOSE FIT U-BOLT,Guide,OPERATING + E/W SEISMIC,3,1,102,20,104,0.17,0,0.06,0.18,down,102,0,0,left,20,0.06,0.06,back,1,0.17,0,10000000000,0.3,0,-101.23,29.3,7.2
E,E00,E00  1,LOOSE FIT U-BOLT,Guide,OPERATING + N/S SEISMIC,3,1,112,15,113,0.32,0,0.06,0.326,down,112,0,0,left,15,0.06,0.06,back,1,0.32,0,10000000000,0.3,0,-101.23,29.3,7.2
E,E00,E00  1,LOOSE FIT U-BOLT,Guide,OPERATING + ALL SEISMIC,3,1,113,24,116,0.325,0,0.06,0.33,down,113,0,0,left,24,0.06,0.06,back,1,0.325,0,10000000000,0.3,0,-101.23,29.3,7.2
F,F00,F00  1,LOOSE FIT U-BOLT,Guide,COLD,3,0,-95,11,95,-0.161,0,0.06,0.171,down,95,0,0,left,11,0.06,0.06,forw,0,0.161,0,10000000000,0.3,0,-93.22,29.3,7.2
F,F00,F00  1,LOOSE FIT U-BOLT,Guide,OPERATING,3,-1,-97,10,98,-0.161,0,0.06,0.171,down,97,0,0,left,10,0.06,0.06,forw,1,0.161,0,10000000000,0.3,0,-93.22,29.3,7.2
F,F00,F00  1,LOOSE FIT U-BOLT,Guide,OPERATING + E/W SEISMIC,3,1,102,20,104,0.17,0,0.06,0.18,down,102,0,0,left,20,0.06,0.06,back,1,0.17,0,10000000000,0.3,0,-93.22,29.3,7.2
F,F00,F00  1,LOOSE FIT U-BOLT,Guide,OPERATING + N/S SEISMIC,3,1,112,15,113,0.32,0,0.06,0.326,down,112,0,0,left,15,0.06,0.06,back,1,0.32,0,10000000000,0.3,0,-93.22,29.3,7.2
F,F00,F00  1,LOOSE FIT U-BOLT,Guide,OPERATING + ALL SEISMIC,3,1,113,24,116,0.325,0,0.06,0.33,down,113,0,0,left,24,0.06,0.06,back,1,0.325,0,10000000000,0.3,0,-93.22,29.3,7.2
G,G00,G00  1,LOOSE FIT U-BOLT,Guide,COLD,3,0,-99,-5,99,-0.271,0,-0.06,0.277,down,99,0,0,rght,5,0.06,0.06,forw,0,0.271,0,10000000000,0.3,0,-80.56,29.31,52.99
G,G00,G00  1,LOOSE FIT U-BOLT,Guide,OPERATING,3,0,-100,-5,100,-0.271,0,-0.06,0.277,down,100,0,0,rght,5,0.06,0.06,forw,0,0.271,0,10000000000,0.3,0,-80.56,29.31,52.99
G,G00,G00  1,LOOSE FIT U-BOLT,Guide,OPERATING + E/W SEISMIC,3,0,106,11,107,0.272,0,0.144,0.308,down,106,0,0,left,11,0.144,0.06,back,0,0.272,0,10000000000,0.3,0,-80.56,29.31,52.99
G,G00,G00  1,LOOSE FIT U-BOLT,Guide,OPERATING + N/S SEISMIC,3,0,104,5,104,0.28,0,0.06,0.286,down,104,0,0,left,5,0.06,0.06,back,0,0.28,0,10000000000,0.3,0,-80.56,29.31,52.99
G,G00,G00  1,LOOSE FIT U-BOLT,Guide,OPERATING + ALL SEISMIC,3,0,106,11,107,0.28,0,0.144,0.315,down,106,0,0,left,11,0.144,0.06,back,0,0.28,0,10000000000,0.3,0,-80.56,29.31,52.99
G,G00,G00  2,FOR ANALYSIS RESOLUTION ONLY,Line Stp,COLD,3,-21,0,0,21,-0.271,0,-0.06,0.277,forw,21,0.271,0.25,down,0,0,0,rght,0,0.06,0,1000,0,0,-80.56,29.31,52.99
G,G00,G00  2,FOR ANALYSIS RESOLUTION ONLY,Line Stp,OPERATING,3,-21,0,0,21,-0.271,0,-0.06,0.277,forw,21,0.271,0.25,down,0,0,0,rght,0,0.06,0,1000,0,0,-80.56,29.31,52.99
G,G00,G00  2,FOR ANALYSIS RESOLUTION ONLY,Line Stp,OPERATING + E/W SEISMIC,3,22,0,0,22,0.272,0,0.144,0.308,back,22,0.272,0.25,down,0,0,0,left,0,0.144,0,1000,0,0,-80.56,29.31,52.99
G,G00,G00  2,FOR ANALYSIS RESOLUTION ONLY,Line Stp,OPERATING + N/S SEISMIC,3,30,0,0,30,0.28,0,0.06,0.286,back,30,0.28,0.25,down,0,0,0,left,0,0.06,0,1000,0,0,-80.56,29.31,52.99
G,G00,G00  2,FOR ANALYSIS RESOLUTION ONLY,Line Stp,OPERATING + ALL SEISMIC,3,30,0,0,30,0.28,0,0.144,0.315,back,30,0.28,0.25,down,0,0,0,left,0,0.144,0,1000,0,0,-80.56,29.31,52.99
H,H00,H00  1,LOOSE FIT U-BOLT,Guide,COLD,3,0,-80,-6,81,-0.135,0,-0.06,0.147,down,80,0,0,rght,6,0.06,0.06,forw,0,0.135,0,10000000000,0.3,0,-87.43,29.31,52.99
H,H00,H00  1,LOOSE FIT U-BOLT,Guide,OPERATING,3,-2,-83,-5,83,-0.135,0,-0.06,0.147,down,83,0,0,rght,5,0.06,0.06,forw,2,0.135,0,10000000000,0.3,0,-87.43,29.31,52.99
H,H00,H00  1,LOOSE FIT U-BOLT,Guide,OPERATING + E/W SEISMIC,3,2,86,14,87,0.149,0,0.102,0.18,down,86,0,0,left,14,0.102,0,back,2,0.149,0,10000000000,0.3,0,-87.43,29.31,52.99
H,H00,H00  1,LOOSE FIT U-BOLT,Guide,OPERATING + N/S SEISMIC,3,2,94,9,94,0.247,0,0.06,0.254,down,94,0,0,left,9,0.06,0,back,2,0.247,0,10000000000,0.3,0,-87.43,29.31,52.99
