Seg,Point,Type,Tag No.,Combination,Nominal,GlobalFX,GlobalFY,GlobalFZ,GlobalFR,GlobalMX,GlobalMY,GlobalMZ,GlobalRM,LocalFX,LocalFY,LocalFZ,LocalMX,LocalMY,LocalMZ,CoordX,CoordY,CoordZ
A,A00,Anchor,LEVEL 3,COLD,10,-2,-1821,2,1821,-71,-12,-43,84,1821,2,2,12,-43,71,-860.27,53.2,75.7
A,A00,Anchor,LEVEL 3,OPERATING,10,24,-2260,-25,2261,251,-4,-224,336,2260,-25,-24,4,-224,-251,-860.27,53.2,75.7
A,A134,Anchor,CONTINUING PIPE,COLD,20,-14,-662,0,662,0,-3,0,3,-14,-662,0,0,-3,0,-811.74,-46.71,-301.18
A,A134,Anchor,CONTINUING PIPE,OPERATING,20,-111,-2048,-84,2053,19,-1681,3,1681,-111,-2048,-84,19,-1681,3,-811.74,-46.71,-301.18
C,C00,Anchor,LEVEL 3,COLD,10,-2,-1729,1,1729,-13,-5,-47,48,1729,1,2,5,-47,13,-860.82,53.2,77
C,C00,Anchor,LEVEL 3,OPERATING,10,18,-2296,-25,2296,-420,-22,540,684,2296,-25,-18,22,540,420,-860.82,53.2,77
C,C137,Anchor,CONTINING PIPE,COLD,20,-16,-658,-1,658,0,-31,0,31,-16,-658,-1,0,-31,0,-811.77,-46.71,-305.19
C,C137,Anchor,CONTINING PIPE,OPERATING,20,-111,-2048,-103,2054,23,-1975,3,1975,-111,-2048,-103,23,-1975,3,-811.77,-46.71,-305.19
G,G00,Anchor,AHU-1,COLD,2.5,0,-147,0,147,-2,0,1,2,147,0,0,0,1,2,-1238.19,37.67,-292.38
G,G00,Anchor,AHU-1,OPERATING,2.5,1,-185,0,185,15,8,18,25,185,0,-1,-8,18,-15,-1238.19,37.67,-292.38
H,H55,Anchor,EQUIPMENT,COLD,0,0,-22,-1,22,-11,3,-51,52,0,-22,1,11,3,51,-1268.34,13.33,-302.96
H,H55,Anchor,EQUIPMENT,OPERATING,0,0,-22,1,22,-12,-1,-51,53,0,-22,-1,12,-1,51,-1268.34,13.33,-302.96
I,I08,Anchor,,COLD,2.5,0,-111,0,111,0,1,2,2,-111,0,0,1,2,0,-1182.95,38,-290.31
I,I08,Anchor,,OPERATING,2.5,2,-184,1,184,3,1,20,20,-184,1,2,1,20,3,-1182.95,38,-290.31
K,K19,Anchor,,COLD,5,-3,-289,33,291,-314,-50,-115,338,-289,33,-3,-50,-115,-314,-1062.24,30.84,-146.18
K,K19,Anchor,,OPERATING,5,18,-331,-19,332,-112,-128,-58,179,-331,-19,18,-128,-58,-112,-1062.24,30.84,-146.18
L,L21,Anchor,,COLD,5,-5,-399,-32,400,-344,111,-19,362,-399,-32,-5,111,-19,-344,-1062.25,30.84,-219.84
L,L21,Anchor,,OPERATING,5,5,-406,20,407,-765,-43,35,767,-406,20,5,-43,35,-765,-1062.25,30.84,-219.84
M,M00,Anchor,,COLD,2.5,0,-111,0,111,0,0,1,1,111,0,0,0,1,0,-1180.43,38,-290.32
M,M00,Anchor,,OPERATING,2.5,2,-185,1,185,2,1,21,21,185,1,-2,-1,21,-2,-1180.43,38,-290.32
N,N54,Anchor,EQUIPMENT,COLD,0,0,-19,-1,19,-9,3,-37,38,0,-19,1,9,3,37,-1268.37,13.33,-302.3
N,N54,Anchor,EQUIPMENT,OPERATING,0,0,-19,0,19,-9,-1,-37,38,0,-19,0,9,-1,37,-1268.37,13.33,-302.3
O,O00,Anchor,AHU-1,COLD,2.5,0,-147,0,147,-2,0,1,2,147,0,0,0,1,2,-1237.55,37.67,-292.39
O,O00,Anchor,AHU-1,OPERATING,2.5,1,-185,0,185,15,9,18,25,185,0,-1,-9,18,-15,-1237.55,37.67,-292.39
Q,Q00,Anchor,,COLD,5,-1,-294,28,295,-245,-54,-171,303,294,28,1,54,-171,245,-1061.52,30.84,-146.19
Q,Q00,Anchor,,OPERATING,5,15,-339,-36,341,36,-77,-156,177,339,-36,-15,77,-156,-36,-1061.52,30.84,-146.19
R,R00,Anchor,,COLD,5,-4,-359,-26,360,-148,66,-18,163,359,-26,4,-66,-18,148,-1061.53,30.84,-219.86
R,R00,Anchor,,OPERATING,5,7,-371,39,374,-663,-65,35,667,371,39,-7,65,35,663,-1061.53,30.84,-219.86
S,S28,Anchor,,COLD,5,0,-186,0,186,-15,-4,5,16,-186,0,0,-4,5,-15,-1007.52,30.16,-242.96
S,S28,Anchor,,OPERATING,5,3,-246,5,246,-74,-39,-52,98,-246,5,3,-39,-52,-74,-1007.52,30.16,-242.96
T,T29,Anchor,,COLD,5,0,-187,1,187,-21,-6,12,25,-187,1,0,-6,12,-21,-1008.24,30.16,-242.95
T,T29,Anchor,,OPERATING,5,3,-238,5,238,-116,-45,-24,127,-238,5,3,-45,-24,-116,-1008.24,30.16,-242.95
U,U10,Anchor,EQUIPMENT,COLD,0,-1,-5,0,5,0,0,-7,7,1,-5,0,0,0,7,-1158.31,14.33,-242.42
U,U10,Anchor,EQUIPMENT,OPERATING,0,1,-5,0,6,0,0,-7,7,-1,-5,0,0,0,7,-1158.31,14.33,-242.42
V,V10,Anchor,EQUIPMENT,COLD,0,0,-5,0,5,0,0,-7,7,0,-5,0,0,0,7,-1158.34,14.33,-241.85
V,V10,Anchor,EQUIPMENT,OPERATING,0,1,-5,0,6,0,0,-7,7,-1,-5,0,0,0,7,-1158.34,14.33,-241.85
W,W00,Anchor,,COLD,5,0,-169,0,169,22,-7,-94,96,169,0,0,7,-94,-22,-1007.48,31.11,-100.61
W,W00,Anchor,,OPERATING,5,4,-280,-3,280,-25,-27,-86,94,280,-3,-4,27,-86,25,-1007.48,31.11,-100.61
X,X00,Anchor,,COLD,5,0,-190,0,190,13,-5,-49,51,190,0,0,5,-49,-13,-1008.2,31.11,-100.59
X,X00,Anchor,,OPERATING,5,4,-256,-3,256,-20,-36,-35,54,256,-3,-4,36,-35,20,-1008.2,31.11,-100.59
Y,Y06,Anchor,,COLD,2.5,4,-72,1,72,-2,2,23,23,-72,1,4,2,23,-2,-847.56,20.79,-267.2
Y,Y06,Anchor,,OPERATING,2.5,-7,-399,61,403,-241,0,1,241,-399,61,-7,0,1,-241,-847.56,20.79,-267.2
Z,Z00,Anchor,,COLD,2.5,4,-68,0,68,0,0,23,23,68,0,-4,0,23,0,-847.59,20.79,-269.68
Z,Z00,Anchor,,OPERATING,2.5,9,-69,20,73,-104,49,50,125,69,20,-9,-49,50,104,-847.59,20.79,-269.68
AA,AA00,Anchor,EQUIPMENT,COLD,0,0,0,0,0,0,-1,1,1,0,0,0,-1,-1,1,-872.82,31.61,74.01
AA,AA00,Anchor,EQUIPMENT,OPERATING,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,1,-872.82,31.61,74.01
AB,AB00,Anchor,EQUIPMENT,COLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-872.2,31.61,74.25
AB,AB00,Anchor,EQUIPMENT,OPERATING,0,2,0,0,2,0,-7,0,7,0,0,2,0,-7,0,-872.2,31.61,74.25
AC,AC11,Anchor,3RD FLOOR,COLD,3,0,-167,0,167,-6,0,-1,6,-167,0,0,0,-1,-6,-609.22,45.99,-61.83
AC,AC11,Anchor,3RD FLOOR,OPERATING,3,-16,-206,3,206,-63,-4,-112,129,-206,3,-16,-4,-112,-63,-609.22,45.99,-61.83
AD,AD06,Anchor,EQUIPMENT,COLD,5,2,0,1,2,3,1,-1,3,0,1,-2,-1,-1,-3,-601.73,30.17,-41.91
AD,AD06,Anchor,EQUIPMENT,OPERATING,5,-114,10,-37,120,-6,7,46,46,-10,-37,114,-7,46,6,-601.73,30.17,-41.91
AE,AE10,Anchor,3RD FLOOR,COLD,3,1,-154,0,154,-8,-2,-3,9,-154,0,1,-2,-3,-8,-608.84,45.99,-62.75
AE,AE10,Anchor,3RD FLOOR,OPERATING,3,-11,-185,4,185,-70,3,-81,107,-185,4,-11,3,-81,-70,-608.84,45.99,-62.75
AF,AF06,Anchor,EQUIPMENT,COLD,5,1,0,0,1,0,1,-1,2,0,0,-1,-1,-1,0,-602.07,30.17,-41.1
AF,AF06,Anchor,EQUIPMENT,OPERATING,5,-99,9,-30,104,-7,10,39,41,-9,-30,99,-10,39,7,-602.07,30.17,-41.1
AG,AG07,Anchor,EQUIPMENT,COLD,5,-1,-1,3,3,-2,1,-1,2,1,3,1,-1,-1,2,-773.57,21.77,-135.83
AG,AG07,Anchor,EQUIPMENT,OPERATING,5,-9,11,21,26,20,1,9,22,-11,21,9,-1,9,-20,-773.57,21.77,-135.83
AI,AI00,Anchor,EQUIPMENT,COLD,4,-4,-2,-1,5,1,1,-3,3,-2,-1,-4,1,-3,1,-648.38,23.03,-76.55
AI,AI00,Anchor,EQUIPMENT,OPERATING,4,-22,7,-2,23,4,2,19,20,7,-2,-22,2,19,4,-648.38,23.03,-76.55
AI,AI11,Anchor,EQUIPMENT,COLD,4,5,-2,3,6,0,-1,2,2,2,3,-5,1,2,0,-676.31,23.08,-88.12
AI,AI11,Anchor,EQUIPMENT,OPERATING,4,1,4,-2,5,-11,-6,4,13,-4,-2,-1,6,4,11,-676.31,23.08,-88.12
AJ,AJ00,Anchor,EQUIPMENT,COLD,4,-4,-2,-1,5,1,1,-3,3,-2,-1,-4,1,-3,1,-648.71,23.04,-75.75
AJ,AJ00,Anchor,EQUIPMENT,OPERATING,4,-19,7,-1,20,5,3,16,17,7,-1,-19,3,16,5,-648.71,23.04,-75.75
AJ,AJ12,Anchor,EQUIPMENT,COLD,4,4,-2,3,5,-1,-1,2,2,2,3,-4,1,2,1,-676.62,23.08,-87.31
AJ,AJ12,Anchor,EQUIPMENT,OPERATING,4,3,5,0,6,-7,-6,2,9,-5,0,-3,6,2,7,-676.62,23.08,-87.31
AL,AL11,Anchor,EQUIPMENT,COLD,2.5,-1,-90,-3,90,9,-1,-17,19,90,-3,1,1,-17,-9,-797.73,20.07,31.72
AL,AL11,Anchor,EQUIPMENT,OPERATING,2.5,0,-92,3,92,34,4,-18,39,92,3,0,-4,-18,-34,-797.73,20.07,31.72
AP,AP00,Anchor,EQUIPMENT,COLD,0,0,-4,1,4,6,1,-2,6,-4,1,0,1,-2,6,-744.71,24.69,56.08
