Seg,Point,ID,Tag No.,Type,Combination,Nominal,GlobalFX,GlobalFY,GlobalFZ,GlobalFR,GlobalDX,GlobalDY,GlobalDZ,GlobalDR,LocalDir1,Force1,Disp1,Gap1,LocalDir2,Force2,Disp2,Gap2,LocalDir3,Force3,Disp3,Gap3,Stiffness,Friction,ColdLoad,CoordX,CoordY,CoordZ
BJ,BJ04,BJ04 1,,Guide,OPERATING (HOT) + EQ,24,0,2935,0,2935,0.064,0,0.038,0.074,down,2935,0,0,left,0,0.064,0.13,back,0,0.038,0,10000000000,0,0,44.7,42.5,-38.64
BJ,BJ08,BJ08 1,,Guide,OPERATING (COOL) + EQ,24,7031,5428,0,8882,0,0,0.043,0.043,down,5428,0,0,left,7031,0,0,back,0,0.043,0,10000000000,0,0,44.7,42.5,-50.66
BJ,BJ08,BJ08 1,,Guide,OPERATING (HOT),24,-5924,-5024,0,7767,0,0,0.007,0.007,down,5024,0,0,left,5924,0,0,back,0,0.007,0,10000000000,0,0,44.7,42.5,-50.66
BJ,BJ08,BJ08 1,,Guide,OPERATING (Cool),24,-5958,-4823,0,7665,0,0,-0.028,0.028,down,4823,0,0,left,5958,0,0,forw,0,0.028,0,10000000000,0,0,44.7,42.5,-50.66
BJ,BJ08,BJ08 1,,Guide,COLD,24,13,-4017,0,4017,0,0,0,0,down,4017,0,0,rght,13,0,0,forw,0,0,0,10000000000,0,0,44.7,42.5,-50.66
BJ,BJ06,BJ06 1,,Guide,OPERATING (HOT) + EQ,24,15903,4740,0,16594,0,0,0.031,0.031,down,4740,0,0,left,15903,0,0,back,0,0.031,0,10000000000,0,0,44.7,42.5,-44.65
BJ,BJ06,BJ06 1,,Guide,OPERATING (COOL) + EQ,24,16200,4985,0,16950,0,0,0.064,0.064,down,4985,0,0,left,16200,0,0,back,0,0.064,0,10000000000,0,0,44.7,42.5,-44.65
BJ,BJ06,BJ06 1,,Guide,OPERATING (HOT),24,13531,-4624,0,14300,0,0,0.014,0.014,down,4624,0,0,rght,13531,0,0,back,0,0.014,0,10000000000,0,0,44.7,42.5,-44.65
BJ,BJ08,BJ08 1,,Guide,OPERATING (HOT) + EQ,24,6995,5320,0,8788,0,0,0.025,0.025,down,5320,0,0,left,6995,0,0,back,0,0.025,0,10000000000,0,0,44.7,42.5,-50.66
BJ,BJ06,BJ06 1,,Guide,COLD,24,-12,-1662,0,1662,0,0,0,0,down,1662,0,0,left,12,0,0,forw,0,0,0,10000000000,0,0,44.7,42.5,-44.65
