To,Nominal (in),Segment,Global X (ft),Global Y (ft),Global Z (ft)
A00,24.000,A,0,33.83333,0
A01,24.000,A,0,33.83333,-19.98
A02,24.000,A,0,33.83333,-40.02
A03,24.000,A,0,33.83333,-42.79167
A04,18.000,A,0,33.58333,-44.46167
A05,18.000,A,0,33.58333,-60.07625
A06,18.000,A,0,33.58333,-79.97625
A07,18.000,A,0,33.58333,-100.0763
A08,18.000,A,0,33.58333,-119.9762
A09,18.000,A,0,33.58333,-140.0762
A10,18.000,A,0,33.58333,-149.9762
A11,18.000,A,0,33.58333,-153.1563
A12,18.000,A,0,33.58333,-155.8763
A13,18.000,A,0,19.91666,-155.8763
A14,18.000,A,0,19.91666,-164.5429
A15,18.000,A,0,33.58333,-164.5429
A16,18.000,A,0,33.58333,-167.2617
A17,18.000,A,0,33.58333,-169.9717
A18,18.000,A,0,33.58333,-180.0717
A19,18.000,A,0,33.58333,-199.9717
A20,18.000,A,0,33.58333,-220.0717
A21,18.000,A,0,33.58333,-240.0117
A22,18.000,A,0,33.58333,-263.0317
A23,18.000,A,0,33.58333,-282.9717
A24,18.000,A,0,33.58333,-303.0317
A25,18.000,A,0,33.58333,-317.5617
A26,18.000,A,0,33.58333,-322.9679
A25,8.000,B,0,33.58333,-317.5617
B01,8.000,B,0,32.60416,-317.5617
B02,6.000,B,0,32.10416,-317.5617
B03,6.000,B,0,27.87416,-317.5617
B04,6.000,B,5.427083,27.87416,-317.5617
B05,6.000,B,10.68708,27.87416,-317.5617
B06,6.000,B,10.86708,27.87416,-317.5617
B07,6.000,B,15.42708,27.87416,-317.5617
B08,6.000,B,25.42708,27.87416,-317.5617
B09,6.000,B,35.42708,27.87416,-317.5617
B10,6.000,B,45.42708,27.87416,-317.5617
B11,6.000,B,55.43708,27.87416,-317.5617
B12,6.000,B,65.43708,27.87416,-317.5617
B13,6.000,B,75.43708,27.87416,-317.5617
B14,6.000,B,85.43708,27.87416,-317.5617
B15,6.000,B,95.43708,27.87416,-317.5617
B16,6.000,B,105.4371,27.87416,-317.5617
B17,6.000,B,115.4371,27.87416,-317.5617
B18,6.000,B,125.4371,27.87416,-317.5617
B19,6.000,B,135.4371,27.87416,-317.5617
B20,6.000,B,145.4371,27.87416,-317.5617
B21,6.000,B,155.4371,27.87416,-317.5617
B22,6.000,B,161.3225,27.87416,-317.5617
B23,6.000,B,161.3225,27.87416,-323.145
B24,6.000,B,161.3225,27.87416,-326.5617
B25,6.000,B,161.3225,21.23875,-326.5617
B26,6.000,B,166.6454,21.23875,-326.5617
B27,6.000,B,174.6454,21.23875,-326.5617
B28,6.000,B,183.5554,21.23875,-326.5617
B29,6.000,B,190.6454,21.23875,-326.5617
B30,6.000,B,197.6654,21.23875,-326.5617
B31,6.000,B,197.6654,21.23875,-333.145
B32,6.000,B,197.6654,21.23875,-343.145
B33,6.000,B,197.6654,21.23875,-353.145
B34,6.000,B,197.6654,21.23875,-357.875
B35,6.000,B,197.6654,13.145,-357.875
B220,6.000,B,197.6654,13.145,-356.875
B36,6.000,B,197.6654,13.145,-350.4271
B37,6.000,B,201.1133,13.145,-350.4271
B38,6.000,B,209.1133,13.145,-350.4271
B39,6.000,B,223.6342,13.145,-350.4271
B40,6.000,B,231.9775,13.145,-350.4271
B41,6.000,B,239.9775,13.145,-350.4271
B42,6.000,B,247.9775,13.145,-350.4271
B43,6.000,B,255.9775,13.145,-350.4271
B44,6.000,B,263.9775,13.145,-350.4271
B45,6.000,B,276.4775,13.145,-350.4271
B46,6.000,B,281.6959,13.145,-350.4271
B47,6.000,B,289.6959,13.145,-350.4271
B48,6.000,B,297.6959,13.145,-350.4271
B49,6.000,B,305.6959,13.145,-350.4271
B50,6.000,B,312.4984,13.145,-350.4271
B51,6.000,B,319.5917,13.145,-350.4271
B52,6.000,B,320.8517,13.145,-350.4271
