Seg,Point,Tag No.,Type,Combination,Nominal,GlobalFX,GlobalFY,GlobalFZ,GlobalFR,GlobalDX,GlobalDY,GlobalDZ,GlobalDR,LocalDir1,Force1,Disp1,Gap1
A,A01,,Rod Hgr,Gravity{1},8,0,388,0,388,0,0,0,0,down,388,0,0
A,A01,,Rod Hgr,COLD,8,0,388,0,388,0,0,0,0,down,388,0,0
A,A01,,Rod Hgr,GT1{1},8,0,274,0,274,0.042,0,0.133,0.139,down,274,0,0
A,A01,,Rod Hgr,GT1P1{1},8,0,273,0,273,0.042,0,0.134,0.14,down,273,0,0
A,A01,,Rod Hgr,OPERATING,8,0,273,0,273,0.042,0,0.134,0.14,down,273,0,0
A,A01,,Rod Hgr,Thermal 1{1},8,0,113,0,113,0.042,0,0.132,0.139,up,113,0,100
A,A01,,Rod Hgr,Pressure 1{1},8,0,1,0,1,0,0,0.001,0.001,up,1,0,100
A,A05,,Rod Hgr,OPERATING,12,0,642,0,642,0.148,0,0.695,0.711,down,642,0,0
A,A05,,Rod Hgr,GT1P1{1},12,0,642,0,642,0.148,0,0.695,0.711,down,642,0,0
A,A05,,Rod Hgr,GT1{1},12,0,639,0,639,0.147,0,0.69,0.705,down,639,0,0
A,A05,,Rod Hgr,COLD,12,0,428,0,428,0,0,0.002,0.002,down,428,0,0
A,A05,,Rod Hgr,Gravity{1},12,0,428,0,428,0,0,0.002,0.002,down,428,0,0
A,A05,,Rod Hgr,Thermal 1{1},12,0,212,0,212,0.147,0,0.687,0.703,down,212,0,0
A,A05,,Rod Hgr,Pressure 1{1},12,0,3,0,3,0.001,0,0.006,0.006,down,3,0,0
A,A11,,Rod Hgr,Gravity{1},6,0,395,0,395,0,0,0.003,0.003,down,395,0,0
A,A11,,Rod Hgr,COLD,6,0,395,0,395,0,0,0.003,0.003,down,395,0,0
A,A11,,Rod Hgr,GT1{1},6,0,306,0,306,0.234,0,0.896,0.926,down,306,0,0
A,A11,,Rod Hgr,OPERATING,6,0,305,0,305,0.236,0,0.903,0.934,down,305,0,0
A,A11,,Rod Hgr,GT1P1{1},6,0,305,0,305,0.236,0,0.903,0.934,down,305,0,0
A,A11,,Rod Hgr,Thermal 1{1},6,0,89,0,89,0.234,0,0.893,0.923,up,89,0,0
A,A11,,Rod Hgr,Pressure 1{1},6,0,1,0,1,0.002,0,0.008,0.008,up,1,0,0
A,A14,,Rod Hgr,Thermal 1{1},6,0,123,0,123,0.021,0.022,0.827,0.828,up,123,0.022,100
A,A14,,Rod Hgr,COLD,6,0,123,0,123,0.003,0,0.004,0.005,down,123,0,0
A,A14,,Rod Hgr,Gravity{1},6,0,123,0,123,0.003,0,0.004,0.005,down,123,0,0
A,A14,,Rod Hgr,Pressure 1{1},6,0,0,0,0,0,0,0.007,0.007,up,0,0,100
A,A14,,Rod Hgr,GT1{1},6,0,0,0,0,0.024,0.022,0.831,0.832,up,0,0.022,100
A,A14,,Rod Hgr,GT1P1{1},6,0,0,0,0,0.024,0.022,0.839,0.839,up,0,0.022,100
